id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18651698,Bird Rock Beach Style Loft,129606037,Erin,,La Jolla,32.81298,-117.26534,Entire home/apt,220,3,12,2017-09-11,0.55,1,0
18654606,33rd Floor Downtown Clean and NEW Apartment,17895389,Asia,,East Village,32.71128,-117.15195,Entire home/apt,350,1,2,2017-06-25,0.09,1,0
18654691,Cozy One Bedroom Condo,14793179,Stephen,,College Area,32.76792,-117.05762,Entire home/apt,95,2,28,2018-09-03,1.37,1,0
18655654,Skyrise Downtown Living w/ Jacuzzi Rooftop,128882006,Oscar,,East Village,32.7159,-117.15301,Entire home/apt,189,30,150,2019-02-23,6.82,1,106
18657625,Cozy Beach Oasis,12211319,Nicole,,Pacific Beach,32.804,-117.24245,Private room,150,2,2,2017-08-29,0.10,1,364
18667318,Excellent modern Otay Ranch home,61165609,José Antonio,,Otay Ranch,32.62638,-116.9581,Entire home/apt,150,7,11,2018-03-19,0.50,1,302
18669899,Amazing property on the sand in Mission Bay.,129757177,Vijay,,Mission Bay,32.76265,-117.25055,Entire home/apt,400,7,25,2019-03-02,1.15,1,98
18670028,Studio Hotel Suite Near Balboa Park,70722023,Michael,,East Village,32.72067,-117.15392,Entire home/apt,65,1,0,,,1,0
18670784,Epic M. Beach Condo 5=AC/parking/Views,38288010,Karena,,Mission Bay,32.75975,-117.24946,Entire home/apt,127,2,68,2019-02-23,3.12,4,282
18671654,"Large Guest Suite with Kitchenette, Private Entry",129771913,Renee,,Allied Gardens,32.79585,-117.08577,Private room,60,2,76,2019-03-03,3.99,1,62
18674268,Heart of Dtown by Convention Center w Private Bath,129797731,Jad,,East Village,32.71155,-117.15727,Private room,59,1,115,2019-03-01,5.17,4,14
18675013,Lina 's Resort,98113671,Caroline,,Serra Mesa,32.80723,-117.14004,Private room,45,2,49,2019-02-26,2.27,2,279
